StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q15,Q22,Q23,Q23_16_TEXT,Q24,Q24_5_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q12
2020-06-21 08:31:17,2020-06-21 08:38:51,IP Address,67.187.116.167,100,453,True,2020-06-21 08:38:51,R_2V4rJKK2CnKXAGG,,,,,35.9243011474609375,-83.99649810791015625,anonymous,EN,A great deal,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A lot,A lot,3687,14,7,,Master's degree,,Female,,No,,"Need more GIS practice "
2020-06-21 21:06:39,2020-06-21 21:08:53,IP Address,172.58.187.30,100,134,True,2020-06-21 21:08:53,R_31cPzzAaZNUsAE1,,,,,38.95379638671875,-76.8946990966796875,anonymous,EN,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,PEPPER2014,,6,,Master's degree,,Female,,No,,
2020-06-21 22:05:35,2020-06-21 22:08:47,IP Address,68.169.132.28,100,191,True,2020-06-21 22:08:47,R_1eradBr46w955gB,,,,,35.0955963134765625,-85.17690277099609375,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A moderate amount,A great deal,A moderate amount,Toby29,32,"9,10,11,12",,Master's degree,,Male,,No,,"none
"
2020-06-22 08:35:18,2020-06-22 08:37:47,IP Address,73.121.108.217,100,149,True,2020-06-22 08:37:48,R_BRDqBUSK6IUJgFH,,,,,35.6884002685546875,-84.07689666748046875,anonymous,EN,A great deal,A moderate amount,A lot,A great deal,Unable to answer / Do not know,A great deal,A great deal,A great deal,Mufasa,25,8,,Bachelor's degree in college,,Female,,No,,
2020-06-22 08:41:30,2020-06-22 08:43:26,IP Address,73.121.13.12,100,116,True,2020-06-22 08:43:26,R_3IYL3B88AzMsr3Y,,,,,36.01300048828125,-84.26239776611328125,anonymous,EN,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little,pongo1,,6,,Education specialist degree,,Female,,No,,excited to IMPROVE!
2020-06-22 08:46:12,2020-06-22 08:48:07,IP Address,174.195.18.97,100,114,True,2020-06-22 08:48:07,R_UWRu734sykVCGTn,,,,,35.9375,-84.072998046875,anonymous,EN,A great deal,A little,A moderate amount,A moderate amount,A great deal,A moderate amount,A great deal,A great deal,buddy14,17,"7,8,9,10,11,Other (please describe)",some college,Master's degree,,Female,,No,,
2020-06-22 08:55:00,2020-06-22 08:56:29,IP Address,76.234.103.8,100,88,True,2020-06-22 08:56:29,R_1GvuTVT5qd2lFmg,,,,,35.8585052490234375,-84.12059783935546875,anonymous,EN,A great deal,A lot,A lot,A lot,A great deal,A lot,A lot,A lot,Maggie11,11,6,,Bachelor's degree in college,,Female,,No,,
2020-06-22 09:02:37,2020-06-22 09:10:46,Survey Preview,,100,488,True,2020-06-22 09:10:47,R_3rYfdjRNv30GHBy,,,,,35.9243011474609375,-83.99649810791015625,preview,EN,A little,A moderate amount,A moderate amount,A lot,A moderate amount,A little,None at all,A little,Dha123,4,"6,7",,Master's degree,,Female,,No,,
2020-06-22 09:17:02,2020-06-22 09:17:16,Spam,162.72.55.194,10,13,False,2020-06-29 09:17:20,R_2pRy5vKmbW7DIsZ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,
2020-06-22 15:15:26,2020-06-22 15:15:33,IP Address,107.77.232.184,10,6,False,2020-06-29 15:15:46,R_2pQ5kWhcYFjZ1iT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,
